"Location","Year","Week","Num_Patients","Total_ILI","Total_tests","H1_pos","B_pos","H3_pos"
13,2006,1,NA,NA,NA,NA,NA,NA
13,2006,2,NA,NA,NA,NA,NA,NA
13,2006,3,NA,NA,NA,NA,NA,NA
13,2006,4,NA,NA,NA,NA,NA,NA
13,2006,5,NA,NA,NA,NA,NA,NA
13,2006,6,NA,NA,NA,NA,NA,NA
13,2006,7,NA,NA,NA,NA,NA,NA
13,2006,8,NA,NA,NA,NA,NA,NA
13,2006,9,NA,NA,NA,NA,NA,NA
13,2006,10,NA,NA,NA,NA,NA,NA
13,2006,11,NA,NA,NA,NA,NA,NA
13,2006,12,NA,NA,NA,NA,NA,NA
13,2006,13,NA,NA,NA,NA,NA,NA
13,2006,14,NA,NA,NA,NA,NA,NA
13,2006,15,NA,NA,NA,NA,NA,NA
13,2006,16,NA,NA,NA,NA,NA,NA
13,2006,17,NA,NA,NA,NA,NA,NA
13,2006,18,NA,NA,NA,NA,NA,NA
13,2006,19,NA,NA,NA,NA,NA,NA
13,2006,20,NA,NA,NA,NA,NA,NA
13,2006,21,NA,NA,NA,NA,NA,NA
13,2006,22,NA,NA,NA,NA,NA,NA
13,2006,23,NA,NA,NA,NA,NA,NA
13,2006,24,NA,NA,NA,NA,NA,NA
13,2006,25,NA,NA,NA,NA,NA,NA
13,2006,26,NA,NA,NA,NA,NA,NA
13,2006,27,NA,NA,NA,NA,NA,NA
13,2006,28,NA,NA,NA,NA,NA,NA
13,2006,29,NA,NA,NA,NA,NA,NA
13,2006,30,NA,NA,NA,NA,NA,NA
13,2006,31,NA,NA,NA,NA,NA,NA
13,2006,32,NA,NA,NA,NA,NA,NA
13,2006,33,NA,NA,NA,NA,NA,NA
13,2006,34,NA,NA,NA,NA,NA,NA
13,2006,35,NA,NA,NA,NA,NA,NA
13,2006,36,NA,NA,NA,NA,NA,NA
13,2006,37,NA,NA,NA,NA,NA,NA
13,2006,38,NA,NA,NA,NA,NA,NA
13,2006,39,NA,NA,NA,NA,NA,NA
13,2006,40,NA,NA,NA,NA,NA,NA
13,2006,41,NA,NA,NA,NA,NA,NA
13,2006,42,NA,NA,NA,NA,NA,NA
13,2006,43,NA,NA,NA,NA,NA,NA
13,2006,44,NA,NA,NA,NA,NA,NA
13,2006,45,NA,NA,NA,NA,NA,NA
13,2006,46,NA,NA,NA,NA,NA,NA
13,2006,47,NA,NA,NA,NA,NA,NA
13,2006,48,NA,NA,NA,NA,NA,NA
13,2006,49,NA,NA,NA,NA,NA,NA
13,2006,50,NA,NA,NA,NA,NA,NA
13,2006,51,NA,NA,NA,NA,NA,NA
13,2006,52,NA,NA,NA,NA,NA,NA
13,2007,1,NA,NA,NA,NA,NA,NA
13,2007,2,NA,NA,NA,NA,NA,NA
13,2007,3,NA,NA,NA,NA,NA,NA
13,2007,4,NA,NA,NA,NA,NA,NA
13,2007,5,NA,NA,NA,NA,NA,NA
13,2007,6,NA,NA,NA,NA,NA,NA
13,2007,7,NA,NA,NA,NA,NA,NA
13,2007,8,NA,NA,NA,NA,NA,NA
13,2007,9,NA,NA,NA,NA,NA,NA
13,2007,10,NA,NA,NA,NA,NA,NA
13,2007,11,NA,NA,NA,NA,NA,NA
13,2007,12,NA,NA,NA,NA,NA,NA
13,2007,13,NA,NA,NA,NA,NA,NA
13,2007,14,NA,NA,NA,NA,NA,NA
13,2007,15,NA,NA,NA,NA,NA,NA
13,2007,16,NA,NA,NA,NA,NA,NA
13,2007,17,NA,NA,NA,NA,NA,NA
13,2007,18,NA,NA,NA,NA,NA,NA
13,2007,19,NA,NA,NA,NA,NA,NA
13,2007,20,NA,NA,NA,NA,NA,NA
13,2007,21,NA,NA,NA,NA,NA,NA
13,2007,22,NA,NA,NA,NA,NA,NA
13,2007,23,NA,NA,NA,NA,NA,NA
13,2007,24,NA,NA,NA,NA,NA,NA
13,2007,25,NA,NA,NA,NA,NA,NA
13,2007,26,1800,32,10,0,0,3
13,2007,27,1974,155,10,0,0,7
13,2007,28,2238,118,14,0,0,11
13,2007,29,2053,107,9,0,0,3
13,2007,30,2210,107,12,0,0,2
13,2007,31,1929,84,10,0,0,3
13,2007,32,1961,81,10,0,0,2
13,2007,33,1893,70,10,0,0,1
13,2007,34,2022,109,9,0,0,0
13,2007,35,1945,64,10,0,1,0
13,2007,36,1727,45,11,0,0,0
13,2007,37,1272,104,9,0,0,0
13,2007,38,2001,94,13,0,0,0
13,2007,39,1710,79,8,0,0,0
13,2007,40,1997,115,10,0,0,0
13,2007,41,1928,144,10,0,0,0
13,2007,42,1678,200,11,0,1,0
13,2007,43,2186,160,9,0,0,0
13,2007,44,2281,177,12,0,2,0
13,2007,45,2292,161,7,0,2,0
13,2007,46,1760,331,11,0,0,0
13,2007,47,2104,156,11,0,7,0
13,2007,48,1850,117,7,0,2,0
13,2007,49,1821,128,13,0,4,0
13,2007,50,2382,116,9,0,1,0
13,2007,51,1995,91,12,0,4,0
13,2007,52,1911,85,8,0,1,0
13,2008,1,NA,NA,NA,NA,NA,NA
13,2008,2,1701,119,11,0,1,0
13,2008,3,1698,107,10,0,4,0
13,2008,4,1698,141,10,0,3,0
13,2008,5,1849,119,9,0,2,0
13,2008,6,1780,110,0,0,0,0
13,2008,7,1101,46,2,0,0,0
13,2008,8,1390,76,7,0,2,0
13,2008,9,1591,82,11,0,2,0
13,2008,10,1853,127,10,0,0,0
13,2008,11,2332,170,12,0,0,1
13,2008,12,2147,155,8,0,0,0
13,2008,13,1550,159,10,0,2,0
13,2008,14,1888,84,10,0,0,0
13,2008,15,1888,105,11,0,0,2
13,2008,16,1769,106,9,0,0,0
13,2008,17,1964,115,9,1,0,0
13,2008,18,1910,109,7,0,0,0
13,2008,19,1358,100,13,0,0,1
13,2008,20,2142,112,9,0,2,0
13,2008,21,1975,100,10,0,1,0
13,2008,22,2115,107,9,0,2,0
13,2008,23,2255,111,11,0,0,4
13,2008,24,2018,119,10,1,1,0
13,2008,25,1859,126,11,1,1,2
13,2008,26,2016,101,11,0,1,2
13,2008,27,2219,160,8,1,0,3
13,2008,28,2065,115,10,3,1,0
13,2008,29,2044,224,11,4,0,1
13,2008,30,2039,225,9,4,0,2
13,2008,31,1941,222,10,0,0,1
13,2008,32,-99,214,10,1,1,0
13,2008,33,1827,222,10,1,0,0
13,2008,34,1962,205,11,1,1,0
13,2008,35,2027,214,10,0,1,0
13,2008,36,1976,201,8,0,0,1
13,2008,37,1612,200,10,0,1,1
13,2008,38,2513,232,13,1,3,1
13,2008,39,2019,288,8,1,2,1
13,2008,40,2137,275,10,1,1,1
13,2008,41,2358,205,9,0,2,0
13,2008,42,2300,206,10,2,1,0
13,2008,43,2431,291,11,0,3,1
13,2008,44,2465,227,11,0,1,2
13,2008,45,2384,240,9,1,2,1
13,2008,46,2621,279,9,2,2,1
13,2008,47,2359,182,11,0,2,2
13,2008,48,2177,135,9,1,2,2
13,2008,49,2304,243,11,0,3,1
13,2008,50,2635,228,9,0,1,5
13,2008,51,2565,202,10,0,2,3
13,2008,52,4857,376,18,0,0,4
13,2009,1,1939,167,9,0,0,1
13,2009,2,2461,151,11,0,0,0
13,2009,3,2461,195,0,0,0,0
13,2009,4,NA,NA,NA,NA,NA,NA
13,2009,5,NA,NA,NA,NA,NA,NA
13,2009,6,2408,150,9,0,0,0
13,2009,7,2507,171,10,0,0,0
13,2009,8,2261,166,10,0,0,0
13,2009,9,2546,192,12,0,2,0
13,2009,10,2546,186,7,0,0,0
13,2009,11,2395,186,12,0,0,0
13,2009,12,2028,199,9,0,0,0
13,2009,13,3549,216,10,0,1,0
13,2009,14,3549,222,10,0,0,0
13,2009,15,2223,192,13,0,0,0
